timestamp,measurement,device_ip,device_name,location,humidity,temperature
2026-03-30 13:02:53.934983,environment,192.168.1.181,192.168.1.181,lab,40.5,
2026-03-30 13:02:53.934983,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:01.457911,environment,192.168.1.181,192.168.1.181,lab,40.4,
2026-03-30 13:03:01.457911,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:04.003762,environment,192.168.1.181,192.168.1.181,lab,40.5,
2026-03-30 13:03:04.003762,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:14.075720,environment,192.168.1.181,192.168.1.181,lab,40.3,
2026-03-30 13:03:14.075720,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:24.136531,environment,192.168.1.181,192.168.1.181,lab,40.4,
2026-03-30 13:03:24.136531,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:34.207631,environment,192.168.1.181,192.168.1.181,lab,40.4,
2026-03-30 13:03:34.207631,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:44.277352,environment,192.168.1.181,192.168.1.181,lab,40.3,
2026-03-30 13:03:44.277352,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:54.343894,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:03:54.343894,environment,192.168.1.181,192.168.1.181,lab,40.3,
2026-03-30 13:04:04.406800,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:04:04.406800,environment,192.168.1.181,192.168.1.181,lab,40.3,
2026-03-30 13:05:17.291569,environment,192.168.1.181,192.168.1.181,lab,,24.0
2026-03-30 13:05:17.291569,environment,192.168.1.181,192.168.1.181,lab,40.3,
2026-03-30 13:11:42.582532,environment,192.168.1.181,192.168.1.181,lab,,24.1
2026-03-30 13:11:42.582532,environment,192.168.1.181,192.168.1.181,lab,40.09,
2026-03-30 13:31:19.354295,environment,192.168.1.181,192.168.1.181,lab,39.7,
2026-03-30 13:31:19.354295,environment,192.168.1.181,192.168.1.181,lab,,24.1
2026-03-30 13:32:02.203891,environment,192.168.1.181,192.168.1.181,lab,40.0,
2026-03-30 13:32:02.203891,environment,192.168.1.181,192.168.1.181,lab,,24.1
2026-03-30 14:04:43.777319,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:04:43.777319,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:04:53.841669,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:04:53.841669,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:05:03.916135,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:05:03.916135,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:05:13.987179,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:05:13.987179,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:05:24.055871,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:05:24.055871,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:05:34.149545,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:05:34.149545,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:07:47.309055,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:07:47.309055,environment,192.168.1.181,192.168.1.181,lab,39.3,
2026-03-30 14:07:57.374005,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:07:57.374005,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:08:10.463074,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:08:10.463074,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:08:20.490804,environment,192.168.1.181,192.168.1.181,lab,39.3,
2026-03-30 14:08:20.490804,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:08:30.581008,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:08:30.581008,environment,192.168.1.181,192.168.1.181,lab,39.3,
2026-03-30 14:08:40.646414,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:08:40.646414,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:08:50.708522,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:08:50.708522,environment,192.168.1.181,192.168.1.181,lab,39.3,
2026-03-30 14:09:00.787033,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:09:00.787033,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:09:10.846941,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:09:10.846941,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:09:20.915219,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:09:20.915219,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:09:30.980754,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:09:30.980754,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:09:41.041302,environment,192.168.1.181,192.168.1.181,lab,39.3,
2026-03-30 14:09:41.041302,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:10:21.151076,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:10:21.151076,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:10:31.221753,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:10:31.221753,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:10:44.296883,environment,192.168.1.181,192.168.1.181,lab,39.3,
2026-03-30 14:10:44.296883,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:10:54.330099,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:10:54.330099,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:11:04.398272,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:11:04.398272,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:11:14.455504,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:11:14.455504,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:11:24.516749,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:11:24.516749,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:11:34.573466,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:11:34.573466,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:11:44.640591,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:11:44.640591,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:11:54.706157,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:11:54.706157,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:12:04.783423,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:12:04.783423,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:12:14.856768,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:12:14.856768,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:12:24.930827,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:12:24.930827,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:12:35.000638,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:12:35.000638,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:12:45.093023,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:12:45.093023,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:12:55.160795,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:12:55.160795,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:05.232456,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:13:05.232456,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:15.288111,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:13:15.288111,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:25.346972,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:13:25.346972,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:35.418170,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:35.418170,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:13:45.487209,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:45.487209,environment,192.168.1.181,192.168.1.181,lab,39.2,
2026-03-30 14:13:55.561072,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:13:55.561072,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:14:05.616700,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:14:05.616700,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:14:15.683763,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:14:15.683763,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:14:25.749831,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:14:25.749831,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:14:35.814509,environment,192.168.1.181,192.168.1.181,lab,39.0,
2026-03-30 14:14:35.814509,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:14:45.881375,environment,192.168.1.181,192.168.1.181,lab,38.9,
2026-03-30 14:14:45.881375,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:14:55.941886,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:14:55.941886,environment,192.168.1.181,192.168.1.181,lab,,24.2
2026-03-30 14:15:06.004937,environment,192.168.1.181,192.168.1.181,lab,39.09,
2026-03-30 14:15:06.004937,environment,192.168.1.181,192.168.1.181,lab,,24.2
